Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.888638,-104.696808,735.507999,7.746807,-0.217293,96.198836
1.000001,39.888218,-104.696823,765.32877,9.252189,1.857808,88.918104
1.000001,39.887821,-104.696838,790.499765,5.871788,3.673538,83.125247
1.000001,39.887451,-104.696869,805.90103,3.139464,3.969676,78.754536
1.000001,39.887089,-104.696899,812.029376,0.230233,4.239289,76.480506
1.000001,39.886738,-104.696938,810.941637,-1.290264,4.595298,76.906166
1.000001,39.886379,-104.696983,806.029789,-1.870319,4.560294,78.019856
1.000001,39.886017,-104.697037,799.742847,-1.898814,4.623626,79.174827
1.000001,39.885647,-104.697105,793.665363,-1.514549,4.349289,80.200967
1.000001,39.885281,-104.697174,788.778946,-0.905423,3.641348,80.967368
1.000001,39.884907,-104.697258,785.462712,-0.451974,3.289545,80.734769
1.000001,39.884544,-104.697342,782.697958,-0.657619,2.82339,78.729124
1.000001,39.88419,-104.697433,778.636206,-1.24077,1.670438,76.760087
1.001701,39.883842,-104.697525,772.472567,-1.825046,0.260364,75.471881
1.000001,39.883499,-104.697624,764.69599,-1.852759,-1.112303,76.159882
1.000001,39.883152,-104.697716,757.207469,-1.30817,-1.66777,77.241472
1.000001,39.882797,-104.697807,751.389655,-0.571202,-1.871197,78.014547
1.000001,39.882439,-104.697891,747.602492,0.132246,-2.074677,78.443462
1.000001,39.882084,-104.697975,745.357077,0.246873,-1.760665,76.729069
1.000008,39.881741,-104.698051,742.545014,-0.301256,-2.204287,74.538356
1.00282,39.881401,-104.69812,737.561077,-1.129614,-2.830007,72.725342
1.000001,39.881069,-104.698189,730.153956,-1.675878,-4.041855,72.611089
1.000001,39.880733,-104.69825,721.805876,-1.458713,-4.491563,73.768722
1.000001,39.880394,-104.698303,714.472346,-0.80322,-4.379382,74.768753
1.000001,39.880043,-104.698341,709.054925,-0.001866,-4.167148,75.436733
1.000001,39.879696,-104.698372,705.785499,0.639809,-4.052246,75.648013
1.000001,39.879349,-104.698395,703.781881,0.587899,-3.507259,73.66118
1.000001,39.879009,-104.69841,700.778183,-0.095831,-3.882138,71.480314
1.000001,39.878685,-104.698425,695.347896,-1.020953,-4.591994,69.855341
1.000001,39.878361,-104.698425,687.446066,-1.518849,-5.801196,70.236821
1.000001,39.878033,-104.698418,678.864999,-1.294047,-6.257228,71.440154
1.003904,39.877697,-104.698395,671.412572,-0.550096,-6.293331,72.40583
1.000001,39.877361,-104.698357,666.071896,0.242327,-6.392797,73.023068
1.000001,39.877022,-104.698303,662.839916,0.844891,-6.667242,73.113756
1.000001,39.876694,-104.698242,660.732571,0.725876,-6.657815,71.025557
1.000001,39.876373,-104.698166,657.424497,-0.011228,-7.758421,68.800356
1.000001,39.876064,-104.698082,651.49885,-0.991911,-9.514916,67.250721
1.000001,39.875763,-104.697983,643.002188,-1.605075,-11.902753,67.764473
1.000001,39.875458,-104.697853,633.650272,-1.488861,-14.020562,68.900624
1.000001,39.87516,-104.697701,625.258388,-0.875482,-16.401834,69.717634
1.000001,39.874874,-104.697517,618.34918,-0.284358,-19.570898,69.894983
1.000001,39.874599,-104.697289,612.38003,-0.172641,-22.862026,69.638299
1.000001,39.874348,-104.697029,606.446373,-0.40877,-25.37578,69.343013
1.000001,39.874123,-104.696732,600.099458,-0.608165,-27.019991,69.125482
1.000001,39.873932,-104.696396,593.246919,-0.751611,-28.0347,69.026393
1.000001,39.873783,-104.69603,586.237338,-0.697227,-19.522861,68.992157
1.000001,39.873661,-104.695641,581.0498,0.728963,-5.383596,68.793913
1.000001,39.873554,-104.695251,579.046233,1.892258,7.202847,67.955087
1.000001,39.873444,-104.69487,578.116238,1.389281,15.975451,65.714419
1.000001,39.873318,-104.694519,574.66639,-0.161138,20.831047,63.891579
1.000001,39.873169,-104.694191,566.989236,-1.98806,23.550238,63.786929
1.000001,39.872986,-104.693878,555.848167,-2.469724,25.667135,65.784529
1.000001,39.872768,-104.693596,543.939853,-2.10154,27.31287,68.030626
1.000001,39.872513,-104.693344,532.773052,-1.649997,28.492384,70.145415
1.000001,39.872223,-104.693146,523.235158,-0.968425,29.19137,72.038009
1.000001,39.871906,-104.693001,515.518956,-0.403948,29.976261,72.557782
1.000005,39.871578,-104.692917,508.179668,-0.630178,30.392078,71.791492
1.000001,39.871246,-104.692902,499.481708,-1.408494,30.171902,71.231551
1.000001,39.870922,-104.692955,488.9998,-1.840817,29.596252,71.487403
1.000001,39.870598,-104.693062,477.577285,-1.537647,29.262991,73.704677
1.000001,39.870277,-104.693245,467.147141,-0.77858,29.578466,76.154476
1.000001,39.869976,-104.693489,458.762166,-0.07747,30.053404,77.976337
1.000001,39.869701,-104.693802,451.840793,0.093637,30.754206,77.585306
1.000001,39.869465,-104.694145,444.313174,-0.472869,30.598782,76.745776
1.000001,39.86927,-104.694534,434.97077,-1.262856,30.296412,76.126113
1.000001,39.869122,-104.694946,423.690229,-1.614118,29.449537,76.847845
1.000001,39.869015,-104.695396,412.134249,-1.123269,29.375683,78.882225
1.000001,39.868954,-104.695869,402.026152,-0.294754,29.722912,80.622808
1.000001,39.86895,-104.696358,394.128527,0.347024,30.350252,81.055334
1.000001,39.868996,-104.696838,387.175089,0.254728,28.501034,79.466176
1.000001,39.869087,-104.697304,379.757155,-0.023083,15.478555,77.635729
1.001722,39.869205,-104.697746,372.674333,1.033723,1.649825,75.812644
1.000001,39.869328,-104.698174,365.726753,1.146884,-10.080306,74.222886
1.000001,39.869434,-104.698593,357.410237,-0.106917,-18.16942,73.042629
1.000001,39.869514,-104.69902,346.261258,-1.275459,-23.080517,72.549047
1.000001,39.869564,-104.699455,332.50567,-1.867716,-26.29805,74.097058
1.000001,39.869576,-104.699905,318.133647,-1.711218,-27.979116,75.985358
1.000001,39.869534,-104.700363,306.419222,0.168869,-28.889732,76.495944
1.000001,39.869438,-104.700806,299.371068,1.746222,-28.768393,74.259747
1.000001,39.869297,-104.70121,294.317145,1.515622,-28.85029,70.76616
1.000001,39.869129,-104.701561,287.827303,0.455035,-29.39073,67.662782
1.000001,39.868935,-104.701866,278.151188,-1.019716,-29.687452,65.152119
1.000001,39.868713,-104.702126,264.802576,-2.252534,-30.576952,64.134151
1.000001,39.868465,-104.702332,249.385466,-2.363989,-30.803171,64.683793
1.000001,39.868191,-104.702484,234.518559,-1.375765,-30.561506,64.914745
1.000001,39.867897,-104.70256,222.391276,-0.093841,-30.343134,64.484028
1.000001,39.867603,-104.70256,213.363284,0.807264,-29.704153,62.476321
1.000001,39.867329,-104.702499,205.703301,0.723121,-29.331314,59.109123
