PaperDraft--turbulence experiments
1 // ['0', '0.15', '39.875027', '-104.696482', '359', '2.678852278917216', '716.0', '0', '0', '0', '0', '0', '0', '179', '0', 'nan', 'nan', '0', '71.07', '20'] 119.19483613967896
2 // ['1', '0.15', '39.875027', '-104.696482', '359', '0.5955799699578453', '721.0', '0', '0', '0', '0', '0', '0', '179', '0', 'nan', 'nan', '0', '109.26', '20'] 228.51582598686218
3 // ['2', '0.15', '39.875027', '-104.696482', '359', '0.7811973145727232', '737.0', '0', '0', '0', '0', '0', '0', '179', '0', '204.47482517482527', '13.793216783216783', '0', '97.17', '20'] 360.3100550174713
4 // ['3', '0.15', '39.875027', '-104.696482', '359', '2.199887826198318', '717.0', '0', '0', '0', '0', '0', '0', '179', '0', '288.90000000000003', '11.914383561643834', '0', '63.06', '20'] 451.58990502357483
5 // ['4', '0.15', '39.875027', '-104.696482', '359', '0.895429464858285', '720.0', '0', '0', '0', '0', '0', '0', '179', '0', '203.74126984126988', '15.10531746031746', '0', '95.62', '20'] 583.1870663166046
6 // ['5', '0.15', '39.875027', '-104.696482', '359', '3.202923074506498', '736.0', '0', '0', '0', '0', '0', '0', '179', '0', '31.33333333333333', '21.404814814814824', '0', '63.66', '20'] 697.4870510101318
7 // ['6', '0.15', '39.875027', '-104.696482', '359', '1.3042817600014243', '751.0', '0', '0', '0', '0', '0', '0', '179', '0', '102.13443708609273', '14.855364238410598', '0', '102.93', '20'] 827.1341791152954
8 // ['7', '0.15', '39.875027', '-104.696482', '359', '2.592232369800843', '721.0', '0', '0', '0', '0', '0', '0', '179', '0', '26.010596026490084', '27.400728476821183', '0', '64.01', '20'] 2695.5485372543335
9 // ['8', '0.15', '39.875027', '-104.696482', '359', '1.0708974775618314', '722.0', '0', '0', '0', '0', '0', '0', '179', '0', '204.6231182795698', '14.985967741935491', '0', '109.15', '20'] 2782.62704706192
10 // ['9', '0.15', '39.875027', '-104.696482', '359', '2.884634910299221', '711.0', '0', '0', '0', '0', '0', '0', '179', '0', 'nan', 'nan', '0', '123.69', '20'] 2884.191148042679
11 // ['10', '0.15', '39.875027', '-104.696482', '359', '3.207939837475053', '741.0', '0', '0', '0', '0', '0', '0', '179', '0', '211.88461538461547', '17.289505494505498', '0', '101.39', '20'] 3026.5276560783386
12 // ['11', '0.15', '39.875027', '-104.696482', '359', '0.8346114226948186', '756.0', '0', '0', '0', '0', '0', '0', '179', '0', '198.1513888888889', '17.132916666666663', '0', '77.62', '20'] 3146.3317482471466
13 // ['12', '0.15', '39.875027', '-104.696482', '359', '1.718427204730082', '770.0', '0', '0', '0', '0', '0', '0', '179', '0', '155.56144578313254', '20.380963855421683', '0', '119.92', '20'] 3314.5343198776245
14 // ['13', '0.15', '39.875027', '-104.696482', '359', '3.1061055661245174', '768.0', '0', '0', '0', '0', '0', '0', '179', '0', 'nan', 'nan', '0', '84.89', '20'] 3452.0455791950226
15 // ['14', '0.15', '39.875027', '-104.696482', '359', '2.4414201693756525', '730.0', '0', '0', '0', '0', '0', '0', '179', '0', 'nan', 'nan', '0', '94.1', '20'] 3591.99325799942
16 // ['15', '0.15', '39.875027', '-104.696482', '359', '0.0', '714.0', '0', '0', '0', '0', '0', '0', '179', '0', '277.44651162790706', '27.06848837209302', '0', '108.52', '20'] 3697.259439945221
17 // ['16', '0.15', '39.875027', '-104.696482', '359', '0.17580113684376922', '740.0', '0', '0', '0', '0', '0', '0', '179', '0', 'nan', 'nan', '0', '76.61', '20'] 3830.675482273102
18 // ['17', '0.15', '39.875027', '-104.696482', '359', '2.704115071265271', '762.0', '0', '0', '0', '0', '0', '0', '179', '0', '175.30140845070426', '5.1047183098591535', '0', '84.81', '20'] 3948.543659210205
19 // ['18', '0.15', '39.875027', '-104.696482', '359', '2.743926078880824', '720.0', '0', '0', '0', '0', '0', '0', '179', '0', '122.35354330708664', '2.496299212598424', '0', '93.07', '20'] 4078.436445951462
20 // ['19', '0.15', '39.875027', '-104.696482', '359', '3.168711648948691', '713.0', '0', '0', '0', '0', '0', '0', '179', '0', '108.46326530612252', '4.009931972789114', '0', '89.11', '20'] 4201.542530059814
21 // ['20', '0.15', '39.875027', '-104.696482', '359', '0.8449365745633599', '720.0', '0', '0', '0', '0', '0', '0', '179', '0', '116.33263157894731', '9.098736842105263', '0', '105.57', '20'] 4324.236217260361
22 // ['21', '0.15', '39.875027', '-104.696482', '359', '2.2567088610457904', '719.0', '0', '0', '0', '0', '0', '0', '179', '0', '299.9061643835616', '12.641232876712326', '0', '91.56', '20'] 4450.118939876556
23 // ['22', '0.15', '39.875027', '-104.696482', '359', '0.0', '717.0', '0', '0', '0', '0', '0', '0', '179', '0', '218.8140625', '14.064218750000002', '0', '73.3', '20'] 4510.979380130768
24 // ['23', '0.15', '39.875027', '-104.696482', '359', '0.8327012556472146', '709.0', '0', '0', '0', '0', '0', '0', '179', '0', '223.0216981132075', '21.264339622641508', '0', '100.15', '20'] 4592.771537065506
25 // ['24', '0.15', '39.875027', '-104.696482', '359', '2.794319012082206', '791.0', '0', '0', '0', '0', '0', '0', '179', '0', '347.9184049079754', '24.068282208588975', '0', '70.39', '20']
